Date,Open,High,Low,Close,Adj Close,Volume
4/22/2020,16615,16770,16555,16765,16765,347495900
4/23/2020,16925,17145,16778,17011,17011,392978300
4/24/2020,16640,17155,16640,16859,16859,349284500
4/27/2020,17313,17380,17164,17380,17380,307768100
4/28/2020,17428,17941,17413,17677,17677,496793100
4/29/2020,17616,18076,17609,18067,18067,477978500
4/30/2020,18209,18303,17655,17690,17690,597318500
5/4/2020,17157,17345,17036,17036,17036,430626400
5/5/2020,17289,17390,17082,17387,17387,413815000
5/6/2020,17368,17500,17146,17159,17159,330052900
5/7/2020,17256,17363,17094,17245,17245,360975400
5/8/2020,17416,17462,17254,17439,17439,242317800
5/11/2020,17602,17678,17307,17381,17381,279808500
5/12/2020,17394,17602,17394,17559,17559,323340100
5/13/2020,17354,17427,17183,17183,17183,370538600
5/14/2020,17066,17177,16551,16868,16868,435987200
5/15/2020,17055,17124,16792,16852,16852,350474400
5/18/2020,16998,17446,16953,17401,17401,409926900
5/19/2020,17579,17613,16929,17035,17035,837116200
5/20/2020,16990,17248,16674,17213,17213,802296700
5/21/2020,16987,17284,16950,17087,17087,468260800
5/22/2020,16905,17386,16820,17316,17316,488722400
5/25/2020,17451,17596,17304,17596,17596,275240000
5/26/2020,17796,17894,17697,17860,17860,565674900
5/27/2020,17861,18228,17737,17910,17910,796359100
5/28/2020,18081,18414,18046,18351,18351,616898400
5/29/2020,18193,18391,18149,18198,18198,731191700
6/1/2020,18437,18531,18237,18524,18524,459197200
6/2/2020,18676,19053,18569,18971,18971,612512800
6/3/2020,19204,19642,19171,19642,19642,828030700
6/4/2020,19520,19849,19391,19634,19634,814390200
6/5/2020,19904,20198,19869,20188,20188,925086600
6/8/2020,20133,20399,20050,20231,20231,773230400
6/9/2020,20243,20274,19678,19930,19930,779956200
6/10/2020,20096,20181,19694,19758,19758,703770700
6/11/2020,19222,19353,18807,18807,18807,789867400
6/12/2020,18573,19169,18553,18888,18888,610202600
6/15/2020,18303,19065,18303,18969,18969,483442500
6/16/2020,19383,19874,19297,19626,19626,786184600
6/17/2020,19670,19876,19487,19586,19586,575170300
6/18/2020,19562,19815,19332,19486,19486,495706400
6/19/2020,19601,19741,19572,19619,19619,934839800
6/22/2020,19402,19685,19311,19479,19479,421857500
6/23/2020,19626,19885,19551,19842,19842,523455200
6/24/2020,19778,19907,19163,19163,19163,511785200
6/25/2020,19101,19319,18878,19235,19235,491616700
6/26/2020,19442,19549,19124,19124,19124,366134900
6/29/2020,19159,19541,19113,19447,19447,358186700
6/30/2020,19517,19540,19223,19376,19376,414866900
7/1/2020,19452,19455,19013,19331,19331,361833800
7/2/2020,19531,19975,19482,19887,19887,495115800
7/3/2020,19941,19969,19632,19727,19727,289547200
7/6/2020,20121,20223,19928,20032,20032,443634500
7/7/2020,19938,20066,19845,20013,20013,352024500
7/8/2020,19914,20101,19848,19900,19900,327081800
7/9/2020,19993,20008,19502,19506,19506,324855600
7/10/2020,19395,19770,19395,19768,19768,299117400
7/13/2020,20063,20067,19735,20003,20003,449146200
7/14/2020,19799,19900,19677,19880,19880,425475000
7/15/2020,20046,20361,19982,20281,20281,507289700
7/16/2020,20207,20389,20179,20356,20356,483034300
7/17/2020,20414,20427,20264,20419,20419,399015800
7/20/2020,20327,20679,20217,20621,20621,448609300
7/21/2020,20899,21133,20703,20723,20723,642358800
7/22/2020,20689,20797,20509,20599,20599,400283900
7/23/2020,20664,20689,20363,20454,20454,372189300
7/24/2020,20155,20241,19960,20075,20075,378518300
7/27/2020,20034,20163,19914,20020,20020,358176700
7/28/2020,20022,20120,19698,19903,19903,335491900
7/29/2020,19895,19973,19719,19881,19881,359277100
7/30/2020,19926,19976,19116,19228,19228,545919800
7/31/2020,19342,19532,19086,19092,19092,454759400
8/3/2020,19137,19402,18949,19380,19380,411205200
8/4/2020,19532,19658,19377,19614,19614,566864900
8/5/2020,19766,19896,19642,19740,19740,544154400
8/6/2020,19702,19834,19353,19475,19475,642423100
8/7/2020,19429,19564,19251,19516,19516,349794600
8/10/2020,19570,19668,19454,19652,19652,251844900
8/11/2020,19850,20294,19850,20209,20209,486632200
8/12/2020,20172,20463,20151,20437,20437,372877300
8/13/2020,20383,20472,20257,20257,20257,314363800
8/14/2020,20159,20185,19821,20028,20028,296289800
8/17/2020,20101,20123,19853,19950,19950,246143300
8/18/2020,19845,20159,19723,19846,19846,255470500
8/19/2020,19833,20055,19734,20055,20055,221316800
8/20/2020,19827,19921,19719,19767,19767,264922400
8/21/2020,19846,19868,19480,19695,19695,300533200
8/24/2020,19908,20130,19887,20113,20113,304828800
8/25/2020,20256,20368,20030,20030,20030,327848800
8/26/2020,19971,20137,19928,20137,20137,336048100
8/27/2020,20131,20133,19847,19847,19847,479171100
8/28/2020,19953,19992,19687,19841,19841,475736200
8/31/2020,19972,20081,19616,19634,19634,411640300
9/1/2020,19776,19871,19435,19595,19595,429280800
9/2/2020,19713,20036,19672,19858,19858,375861100
